@,di
kebawa,terbawa
mimpiii,mimpi
wanjerrr,anjir
satupunn,satupun
motret,memotret
lapakk,lapak
nyeniii,menyeni
seeh,sih
deuhh,duh
b2an,berduaan
dihargain,dihargai
"engga""",enggak-enggak
tahun2,tahun-tahun
gilsss,gila
nganbek,mengambek
mendam,memendam
manta,mantan
dri,dari
relaaaa,rela
bgun,bangun
tdur,tidur
anugrah,anugerah
awoohhh,allah
sbbyak,sebanyak
apun,apapun
nyangkutnya,menyangkutnya
dripada,daripada
dripda,daripada
drmn,darimana
drpd,daripada
paraah,parah
dsana,disana
dsar,dasar
dsini,disini
dijelekin,dijelekkan
dsna,disana
dsni,disini
azeeeek,asik
ntikk,cantik
uhh,uh
mayan,lumayan
mnisss,manis
dstu,disitu
tambahim,tambahkan
dteng,datang
dtg,datang
dua2nya,dua-duanya
duetin,duet
canttikkk,cantik
baanggeettt,banget
duhh,duh
siiihh,sih
krpoooo,kepo
pengn,pengin
dekkk,dek
duluuu,dulu
dung,dong
dunk,dong
dy,dia
mmang,memang
nentuin,menentukan
mnjmput,menjemput
ygs,sayang
mblooo,jomblo
ber'expresi,berekspresi
ea,ya
ciumman,ciuman
aurot,aurat
laginy,laginya
ehh,eh
nyaaaaaaaaaaaaa,nya
alkhamdulilah,alhamdulillah
selaluu,selalu
anjirrr,anjir
amen,amin
ehhh,eh
elo,kamu
elu,kamu
sampai2,sampai-sampai
hal2,hal-hal
komunitas2,komunitas-komunitas
emang,memang
fotony,fotonya
halllo,halo
ngiritya,mengiritnya
hematt,hemat
ciyeeee,cie
nget,banget
kususnya,khususnya
sam,sama
ajaaahhhhh,saja
syediiihhh,sedih
malangg,malang
belooomm,belum
yaakk,ya
kebukti,terbukti
anak2e,anak-anaknya
tuwanya,tuanya
comen2nya,komen-komennya
pedesssss,pedas
nyebut2,menyebut-nyebut
hellooooooo,halo
emangnya,memangnya
taek,tahi
emank,memang
emg,emang
bangkret,bangkrut
lahhhhhh,lah
kedokk,kedok
"mati""an",mati-matian
serem2,seram-seram
"ngumpet""",mengumpet-ngumpet
blim,belum
mnjijikaaaaaan,menjijikkan
astgfrlh,astagfirullah
sahabatt,sahabat
gnyngka,enggak menyangka
sendirir,sendiri
brengsekk,brengsek
emng,emang
ngomentnya,mengomentarinya
engga,tidak
ngmgin,mengomongkan
bilangg,bilang
gkhianati,mengkhianati
engk,tidak
enk,enak
fakta2,fakta-fakta
pljaran,pelajaran
fhoto,foto
fotbar,foto bareng
mngikuti,mengikuti
klkuan,kelakuan
foto2,foto-foto
dibikin2,dibikin-bikin
fto,foto
kasiannn,kasihan
syekaliii,sekali
hgga,hingga
fto2,foto-foto
g,tidak
sholihah,salihah
adeuh,aduh
halahh,alah
luu,lu
yuuks,yuk
judulnyaa,judulnya
ayoookkkkkk,ayo
"nama""",nama-nama
ga,tidak
mbak2,mbak-mbak
komentnya,komentarnya
ngalirrrrr,mengalir
dosaa,dosa
seindonesiyah,seindonesia
senyumin,senyumi
px,punya
kslhn,kesalahan
skrngnya,sekarangnya
kalik,kali
nyambungin,menyambung
nggali,menggali
nangiiiiis,menangis
nangiiis,menangis
ortunya,orang tuanya
woey,woy
bloghhh,goblok
mnjawab,menjawab
woooiiiiiiii,woy
dosaaaaaaaaaa,dosa
karmaaa,karma
woooiiiii,woy
ngkkkkkk,mengakak
makny,maknya
wdooohhh,waduh
kasihn,kasihan
lhirr,lahir
hujatann,hujatan
palgi,apalagi
kakakkk,kakak
stp,setiap
penbelian,pembelian
cuaantik,cantik
sukakkk,suka
m,sama
expresi,ekspresi
natap,menatap
helloo,halo
difotoin,difoto
psangan,pasangan
ngiriii,mengiri
coxok,cocok
statusx,statusnya
cem,macam
yee,ya
sunggu,sungguh
ammiiin,amin
haddeh,aduh
maaasss,mas
segerrrr,segar
kemn,kemana
suipit,sipit
sipiit,sipit
lancr,lancar
keputihn,keputihan
"mdh""",mudah-mudah
bz,bisa
gaa,enggak
gaada,tidak ada
gabakal,tak akan
gabisa,tidak bisa
ammin,amin
gada,tidak ada
mendapatkn,mendapatkan
gag,tidak
lucuuuk,lucu
Gaje,tidak jelas
gajelas,tidak jelas
amaattt,amat
gak,tidak
d.bikinin,dibikin
mmz,mas
bapeeeer,bawa perasaan
siih,sih
hadeehh,aduh
pu,punya
suamiiiii,suami
kebykan,kebanyakan
pernikahn,pernikahan
bagusnyeee,bagusnya
liatnyaaa,lihatnya
waw,wow
mbuh,embuh
waaa,wah
berbiiiiiihhh,barbie
canteek,cantik
teru,terus
nyatok,mencatok
nyampenya,sampainya
goncengin,boncengkan
gebleg,geblek
ngantar,mengantar
ati2,hati-hati
yeuh,ya
dianter,diantar
disupirin,disopiri
jidad,jidat
novembr,november
genduut,gendut
bertatto,bertato
brrt,berarti
kana,kanan
doong,dong
tengaj,tengah
ps,pas
gmpg,gampang
apal,hapal
rupa2nya,rupa-rupanya
kembaq,kembar
prmpuan,perempuan
gakpapa,tidak apa-apa
gakuat,tidak kuat
gamau,tidak mau
drimnanya,darimananya
cntikan,cantikan
gantengg,ganteng
edaaaan,edan
gantenggg,ganteng
gantiin,gantikan
gapake,tidak pakai
gapernah,tidak pernah
bazengg,bajingan
haiii,hai
"gara""",gara-gara
kmana2,kemana-mana
gara2,gara-gara
gasalah,tidak salah
gasih,tidak sih
gatau,tidak tau
Gausa,tidak usah
gausah,tidak usah
komentar2,komentar-komentar
kenyataan2,kenyataan-kenyataan
gayany,gayanya
gbs,tidak bisa
gda,tidak ada
gemay,gemas
gemes,gemas
gemesin,menggemaskan
gemesss,gemas
gemez,gemas
gg,tidak
gilaaa,gila
sukur2,sukur-sukur
gilaaaa,gila
gilak,gila
gile,gila
gils,gila
gimana,bagaimana
baek2,baik-baik
gimna,bagaimana
gini,begini
dibkatakan,dikatakan
doonk,dong
pengikuy,pengikut
maksd,maksud
adkah,adakah
menbelah,membelah
mngira,mengira
bertolernsi,bertoleransi
slahkan,salahkan
tolernsi,toleransi
ingi,ingin
oalaaaa,walah
menjelekan,menjelekkan
hadeuuh,aduh
ginian,beginian
ginii,begini
giniin,beginikan
gitu,begitu
baca2,baca-baca
gitu2,begitu-gitu
gituan,begituan
gituh,begitu
gituin,begitukan
gituu,gitu
gituuu,begitu
gk,tidak
sebelum2nya,sebelum-sebelumnya
sedihh,sedih
gndakan,gandakan
kangeeeeeeeenya,kangen
ganti'kn,menggantikan
amiiiiiiiiiiiiiiiiin,amin
kgeeeen,kangen
mti,mati
bngetttt,banget
bgect,banget
"kebaikan""y",kebaikannya
dssi,disisi
kangeeeeennn,kangen
aer,air
skalii,sekali
dtinggl,ditinggal
terbaiiikkkkk,terbaik
murahhh,murah
pecahhg,pecah
kakakgh,kakak
terbaeeeek,terbaik
prempuan,perempuan
manteep,mantap
nggeh,engah
indonesiaaa,indonesia
inia,ini
maluu,malu
cobaaaa,coba
cepetan,cepatan
ntapsss,mantap
kamiiii,kami
sdkit2,sedikit-sedikit
penyakitny,penyakitnya
gmana,bagaimana
gmn,bagaimana
gmna,bagaimana
amiinnn,amin
scpatny,secepatnya
gn,begini
gni,begini
tuany,tuanya
gnti,ganti
gokil,gila
doa2,doa-doa
gokillllll,gila
gpp,tidak-apa-apa
adeeek,adek
bca,baca
netes,menetes
mataq,mataku
gr2,gara-gara
byangin,membayangkan
trjadi,terjadi
gratisss,gratis
grgr,gara-gara
dposisi,diposisi
gt,begitu
tanda2nya,tanda-tandanya
dijwb,dijawab
gtau,tidaktahu
gtu,begitu
tmn2nya,teman-temannya
sayy,sayang
salaam,salam
gtuu,begitu
gtw,tidak tau
guaa,gua
guee,gue
gueee,gue
gw,saya
dallam,dalam
tentanh,tentang
kejadianny,kejadiannya
gx,tidak
hadirrr,hadir
haduh,aduh
haii,hai
hallo,halo
hallooo,halo
meluk,memeluk
hancurin,menghancurkan
hati2,hati-hati
hay,hai
hbis,habis
siiihhh,sih
mupeng,muka pengin
hbs,habis
caya,percaya
hdk,hendak
hdp,hidup
hdpn,hadapan
aduhhhhhhhhh,aduh
hdpnya,hidupnya
buseett,buset
mblo,jomblo
hdup,hidup
heii,hai
helo,halo
hijabb,hijab
gagahx,gagahnya
kaliiii,kali
hijap,hijab
hmpir,hampir
hny,hanya
niru,meniru
bpkmu,bapakmu
hnya,hanya
sangt,sangat
baang,bang
hr,hari
hri,hari
hrs,harus
aahh,ah
hrsnya,harusnya
hrus,harus
ht,hati
hub,hubungi
yokk,yuk
hubunggi,hubungi
hy,hai
iaa,ya
weeeh,wih
suksea,sukses
ibuk2,ibu-ibu
idung,hidung
idup,hidup
dekt,dekat
genggg,geng
idupnya,hidupnya
ihh,ih
bhnya,bahannya
samaaaa,sama
abanggku,abangku
ihhh,ih
ciieeeeeee,cie
kokohh,engkoh
iiihhhhh,ih
takuttt,takut
yuks,yuk
ikh,ih
ikut2an,ikut-ikutan
ikutin,mengikuti
pnjual,penjual
ilang,hilang
aaaaaaakkk,ah
ilang2,hilang-hilang
imoet,imut
soga,moga
in,ini
indo,indonesia
sintron,sinetron
ancurrr,hancur
dblkang,dibelakang
yayang,sayang
inget,ingat
aplks,aplikasi
ktawa,ketawa
inginkn,inginkan
ingt,ingat
baguuus,bagus
inih,ini
kaaan,kan
inii,ini
ngepoin,mengepoi
uuhh,uh
istiqamah,istikamah
it,itu
itungan,hitungan
ituu,itu
pengeeenn,pengin
iy,iya
dongggg,dong
iyaa,iya
iyaaa,iya
hatii,hati
besook,besok
iyah,iya
iyak,iya
njayyy,anjay
iyh,iya
tokayyy,tahi
iyha,iya
mksdku,maksudku
iyuh,iya
j,saja
cba,coba
ja,saja
jadiin,jadi
"ilang""",hilang-hilang
jagain,jaga
kubarikan,kuberikan
jalan2,jalan-jalan
anyeng,anjing
jalanin,menjalani
jan,jangan
yankkk,sayang
jangan2,jangan-jangan
cukurrr,cukur
gilaaaaaa,gila
jatoh,jatuh
jd,jadi
yhaaa,ya
qaqaaaa,kakak
sayangkuuuuu,sayangku
banx,bang
edannn,edan
bape,bawa perasaan
nerawang,menerawang
cantiiiik,cantik
didapet,didapat
tanya2,tanya-tanya
kuningggg,kuning
nyolot,menyolot
jdi,jadi
elahh,alah
bela2in,membela-bela
marah2an,marah-marahan
syantiiiiikkkkkkkkkkkk,cantik
"bwa""",bawa-bawa
kerrennn,keren
jdulnya,judulnya
jelas2,jelas-jelas
jelekin,menjelekkan
ngetik,mengetik
pan,kapan
Jendral,Jenderal
mateeeek,mati
jg,juga
geetoo,begitu
sewain,menyewa
kokkk,kok
muluuu,melulu
yaaang,yang
yappp,ya
uwahhhhh,wah
psgn,pasangan
kki,kaki
hayukk,hayo
ntab,mantab
atuhhh,atuh
yukss,yuk
lihaatttt,lihat
niiiihh,nih
liattt,lihat
cuyyy,cuy
liatiii,lihat
jombsss,jomblo
emesshhh,gemas
gemeessss,gemas
poollll,pol
gemesyak,gemas ya
bngttt,banget
ngegmesin,menggemaskan
hndak,hendak
hndk,hendak
iiih,ih
lutunaa,lucunya
abiz,habis
aamiinin,amin
imuutt,imut
tay,tahi
toketnya,teteknya
tumpe2,tumpah-tumpah
tuuuuh,tuh
jga,juga
"mbak""",mbak-mbak
mbaknyaahh,mbaknya
pyudara,payudara
jgan,jangan
jgk,juga
jgn,jangan
ditutupin,ditutupi
cantiik2,cantik-cantik
hati.a,hatinya
mk.a,makanya
mlt.a,mulutnya
nyerocooooos,mencerocos
kyk.a,kayaknya
pljrn,pelajaran
brisi,berisi
canti,cantik
astagfirullh,astagfirullah
jgn2,jangan-jangan
jing,anjing
jjur,jujur
jk,jika
kakakaaaaaaaaaaaaaa,kakak
jkrta,Jakarta
jkt,Jakarta
batwc,banget
kamyuhhh,kamu
dbwh,dibawah
jlek,jelek
jln,jalan
jln2,jalan-jalan
jng,jangan
jngan,jangan
bukti2,bukti-bukti
senenggg,senang
jngn,jangan
jt,juta
jugaa,juga
murhan,murahan
jugaaa,juga
jugak,juga
bgettt,banget
jwb,jawab
jwban,jawaban
k,ke
mereka2,mereka-mereka
pakke,pakai
ktergantungan,ketergantungan
prwatn,perawatan
k',kak
hslnya,hasilnya
ka,kakak
gratiss,gratis
ajaibb,ajaib
setujuuu,setuju
ajarin,ajarkan
mrnghadapi,menghadapi
naka,nakal
besar2in,besar-besarkan
kaa,kak
mndpt,mendapat
kaaa,kak
sebnyak,sebanyak
terburu2,terburu-buru
kaaaa,kak
kaaaaa,kak
ngumpat2,mengumpat-ngumpat
nantangin,menantang
kaak,kak
ngegampar,menggampar
kaakk,kak
kaan,kan
kacian,kasihan
kaga,tidak
ngelaporin,melaporkan
kageet,kaget
salahin,salahkan
kaka,kakak
konsekwensi,konsekuensi
muliany,mulianya
mungki,mungkin
bacahalah,bacalah
gkkan,enggak akan
ngulangin,mengulangi
bedaa,beda
pnyaa,punya
bol3h,boleh
dimarahin,dimarahi
kakakuuu,kakakku
kakanya,kakaknya
kakk,kak
kakkk,kak
kale,kali
troma,trauma
kerasin,kerasi
kaliann,kalian
kalii,kali
kalli,kali
kallo,kalo
kamu2,kamu-kamu
cewer,jewer
kalu,kalau
kam,kamu
kamuu,kamu
kangeen,kangen
kangeenn,kangen
kangenn,kangen
kangennn,kangen
kangennnn,kangen
kann,kan
kannn,kan
rajin2,rajin-rajin
kapaan,kapan
kapan2,kapan-kapan
kapn,kapan
karna,karena
jungkiir,jungkir
gunaa,guna
bales2in,balas-membalas
orangg,orang
tauuuu,tau
byak,banyak
kepad,kepada
bantuanny,bantuannya
karya2,karya-karya
ttinggi,tinggi
kasi,kasih
perna,pernah
kasian,kasihan
jari2,jari-jari
pukulin,pukuli
bengkak2,bengkak-bengkak
kasiatnya,khasiatnya
"kata""",kata-kata
kata2,kata-kata
bijak2,bijak-bijak
kata2nya,kata-katanya
kcantikan,kecantikan
menurur,menurut
tipe2,tipe-tipe
kcil,kecil
liatlah,lihatlah
teguran2,teguran-teguran
kdg,terkadang
kdg2,kadang-kadang
kdng,kadang
kebanggan,kebanggaan
klas,kelas
kebayang,terbayang
grunya,gurunya
kebongkar,terbongkar
"kecil""",kecil-kecil
kedengeran,kedengaran
keinget,teringat
kek,seperti
dilindungin,dilindungi
kasiaannn,kasihan
miring2,miring-miring
tinggalin,tinggalkan
kaitannha,kaitannya
sud,sudah
kekk,kayak
keknya,kayaknya
kel,kelompok
keles,kali
bhkn,bahkan
keliatan,kelihatan
justeru,justru
ngatai,mengatai
kln,kalian
termuraaahhhh,termurah
brkunjun,berkunjung
keliatannya,kelihatannya
keluarin,keluarkan
kemaren,kemarin
iu,itu
bgussss,bagus
kemarn,kemarin
kenalin,kenalkan
kenape,kenapa
biasaaaa,biasa
luuuaar,luar
kenceng,cepat
kepingin,mau
kepoin,mengepoi
redho,ridho
rezki,rezeki
kepd,kepada
luaarrr,luar
biasaaa,biasa
jadilh,jadilah
keq,kek
kerass,keras
kereeen,keren
terhaaru,terharu
kereen,keren
orrunya,orang tuanya
kereenn,keren
"keren""",keren-keren
kerenn,keren
kerennn,keren
kerennnn,keren
flm,film
kerennnnn,keren
kalok,kalo
adek2,adek-adek
kerjaan,pekerjaan
kesampean,kesampaian
loncatt,loncat
hampasss,hempas
ketarik,tertarik
ketauan,ketahuan
ketemuuu,ketemu
ketuker,ketukar
bunga2,bunga-bunga
apaaan,apaan
kgak,tidak
ampuuunn,ampun
daaah,dah
kgn,kangen
bangetttttt,banget
ituh,itu
kh,kah
khan,kan
khidupan,kehidupan
suaranyaaaaaa,suaranya
kira2,kira-kira
idoolaaa,idola
kirain,mengira
kitaa,kita
pulaa,pula
penyanyi2,penyanyi-penyanyi
kitaaa,kita
wiih,wih
kk,kakak
allaahh,allah
ajahhh,saja
dehat,sehat
salammmm,salam
hari2,hari-hari
sihat,sehat
buruann,buruan
rekomendain,rekomendasikan
trussss,terus
bangt,banget
kka,kakak
prawatan,perawatan
kkak,kakak
kl,kalau
dimao,dimau
silahkn,silakan
klau,kalau
"minyak""an",minyak-minyakan
klg,keluarga
kli,kali
klian,kalian
kliatan,kelihatan
mutihin,memutihkan
kliatanya,kelihatannya
klihatan,kelihatan
klo,kalau
smster,semester
ucull,lucu
"ngomong""",ngomong-ngomong
udehh,sudah
syngnya,sayangnya
dipermainin,dipermainkan
kocakkk,kocak
dasarrr,dasar
waaaaw,wow
cannnnntikkkkkkk,cantik
cantikx,cantiknya
fatanik,fanatik
kakau,kalau
marh,marah
emngnya,memangnya
darpada,daripada
cooooooocok,cocok
pkk,pakai
agama'ny,agamanya
prcy,percaya
lurusin,meluruskan
biri,biru
luco,lucu
ultha,ultah
batikk,batik
klow,kalau
klrga,keluarga
klu,kalau
kluar,keluar
kluarga,keluarga
klw,kalau
sedihhh,sedih
km,kamu
naaaak,nak
astafirullah,astagfirullah
peragain,peragakan
shayyy,say
anjaayy,anjay
ngilerrrr,mengiler
woyyy,woy
shaaaay,say
hempaass,hempas
sayyy,say
shayy,say
syantiek,cantik
njay,anjay
hehh,eh
ingeet,ingat
nawarin,menawari
amiiiiin,amin
jauhhh,jauh
waaahhh,wah
ajakin,mengajak
mntn,mantan
kmana,kemana
luhhh,lu
yooookkk,yuk
kmar,kamar
kmaren,kemarin
jrnk,jarang
"jelas""",jelas-jelas
kmarin,kemarin
kayax,kayak
kmauan,kemauan
dblkng,dibelakang
kmbali,kembali
anjirr,anjir
sangattt,sangat
iyap,iya
mayann,lumayan
kmbl,kembali
kmewahan,kemewahan
autuhh,tau tuh
kmi,kami
atutt,takut
kmn,kemana
ketara,tertara
kmren,kemarin
giniii,begini
kmrin,kemarin
kmrn,kemarin
mbaaass,mbak
bund,bunda
kmu,kamu
almh,almarhumah
temenkuuh,temanku
suami'y,suaminya
bngeeeetttt,banget
entr,entar
kyax,kayak
cuantikkk,cantik
kaaaaaaaaaakkkkkkkkkkk,kak
panggilan'ya,panggilannya
panggilan'y,panggilannya
kn,kan
kalw,kalau
tips2,tips-tips
knan,kanan
alu,aku
kndung,kandung
ngerrrriiii,ngeri
kngen,kangen
kngenn,kangen
kngn,kangen
knl,kenal
knp,kenapa
ngriii,mengiri
kox,kok
knpa,kenapa
pkee,pakai
knyataan,kenyataan
ko,kok
smkin,semakin
ssorg,seseorang
kog,kok
komen2,komentar
mnambh,menambah
ktaatan,ketaatan
komenan,komentar
koment,komentar
stju,setuju
komentarin,komentari
dilepas2,dilepas-lepas
komenx,komennya
istiqomahhh,istikamah
konsul,konsultasi
koq,kok
kpada,kepada
kpan,kapan
kpd,kepada
kpleset,terpleset
kpn,kapan
kpn2,kapan-kapan
imutt,imut
kq,kok
nahh,nah
mauuuuuuu,mau
kra,kira
jilbb,jilbab
kren,keren
krena,karena
krenn,keren
krm,kirim
krmh,kerumah
krn,karena
penasarn,penasaran
cuyy,cuy
astauviruloh,astagfirullah
paaak,pak
gawl,gaul
kecr,kece
iih,ih
aned,banget
gingsungny,gingsulnya
cariin,carikan
krna,karena
cuanti,cantik
krudung,kerudung
ksh,kasih
knlan,kenalan
mbaakk,mbak
ksih,kasih
ksini,kesini
nyusahhin,menyusahkan
ksitu,kesitu
byaran,bayaran
ksni,kesini
wlawpun,walaupun
kt,kita
sedangkn,sedangkan
kta,kata
bnggain,banggakan
ktanya,katanya
ktemu,ketemu
ktika,ketika
ktmu,ketemu
ktny,katanya
ktnya,katanya
kucing'y,kucingnya
dibanggain,dibanggakan
kunjungin,kunjungi
wlau,walau
kura2,kura-kura
kurangin,kurangi
"bangga""in",membangga-banggakan
kurng,kurang
krya,karya
"bilang""",bilang-bilang
tinggall,tinggal
kuu,ku
kuy,yuk
kuyy,yuk
bangga2in,membangga-banggakan
kw,kau
dibnggain,dibanggakan
ky,seperti
kya,seperti
drimana,darimana
kyak,seperti
ngepake',memakai
gksalah,enggak salah
nuntut,menuntut
ngebiarin,membiarkan
kyaknya,sepertinya
kyanya,sepertinya
kyk,seperti
bhas,bahas
lagu'y,lagunya
"mba""",mbak-mbak
bukan'a,bukannya
tappi,tapi
pacara,pacaran
"ngerebut""",merebut-rebut
lluu,lu
kyknya,sepertinya
ngerussak,merusak
"bela""in",membela-bela
bellain,membela
la,lah
dewassa,dewasa
laa,lah
laaaah,lah
comnet,komen
"pikir""",pikir-pikir
laen,lain
kaya'a,kayanya
kuyyy,yuk
laenny,lainnya
lagii,lagi
lagiii,lagi
lagiiii,lagi
sgtu'y,sebegitunya
ngebelain,membela
lagu2,lagu-lagu
"karya""",karya-karya
do,di
cali,caci
lagu2nya,lagu-lagunya
penghrgaan,penghargaan
lahh,lah
lbihh,lebih
drii,dari
"artist""",artis-artis
"maki""",maki-maki
lahhh,lah
sendirinnya,sendirinya
stidaknya,setidaknya
laki2,laki-laki
trbaikk,terbaik
punn,pun
mengikutii,mengikuti
atassan,atasan
klauu,kalau
jngnn,jangan
lama2,lama-lama
lanjutin,lanjutkan
sendirinyya,sendirinya
frestasiii,prestasi
latian,latihan
add,ada
see,sih
sibukx,sibuknya
lau,kau
katanyaa,katanya
lawaaaas,lawas
lbh,lebih
kocaaaak,kocak
pkoknyaa,pokoknya
lbih,lebih
sichhhhhhhhhh,sih
lcu,lucu
nampak,menampak
lebayy,lebay
ledekin,ledeki
Leh,Boleh
lekong,laki-laki
lenje,lenjeh
lepasin,lepaskan
lg,lagi
muga,moga
janka,jangka
wawwwww,wow
waaaww,wow
waaawwww,wow
lgi,lagi
lgsg,langsung
lgsung,langsung
bangettttttt,banget
lgu,lagu
lh,lah
oplas,operasi plastik
lha,lah
nambahh,bertambah
paripurnahh,paripurna
wanitah,wanita
indonesiaah,indonesia
lhir,lahir
lht,lihat
gegra,gegara
brita,berita
liad,lihat
liat,lihat
wajarrr,wajar
bingiittt,banget
nampar,menampar
tukan,tukang
"muka""",muka-muka
cantik2nya,cantik-cantiknya
"apa""",apa-apa
mancungin,memancungkan
kusem,kusam
drpada,daripada
diemm,diam
ketawain,mentertawakan
yaelahhh,alah
"sikap""",sikap-sikap
ngejatuhin,manjatuhkan
gedeg,gedek
muka2,muka-muka
liat2,lihat-lihat
eey,eh
liatin,lihatin
kslahan,kesalahan
liatnya,lihatnya
liht,lihat
lipetan,lipatan
lma,lama
lngsung,langsung
perhatiam,perhatian
loe,kamu
lohh,loh
dibiarin,dibiarkan
lohhh,loh
lohhhh,loh
loksyut,lokasi syuting
loo,loh
looh,loh
looo,loh
mkir,memikir
loooh,loh
lsg,langsung
lt,lantai
luchu,lucu
lucu2,lucu-lucu
apalai,apalagi
lucuk,lucu
lucuu,lucu
saat2,saat-saat
lucuuu,lucu
lucuuuu,lucu
bka,buka
berani2,berani-berani
lucuuuuu,lucu
luh,kamu
lupain,lupakan
lutuna,lucunya
lw,kamu
pipi'y,pipinya
gemmeeezzz,gemas
sukam,suka
lwt,lewat
lyt,lihat
ma,sama
mnjdkan,menjadikan
mudah2n,mudah-mudahan
soalx,soalnya
maacih,terimakasih
maapin,maaf
macam2,macam-macam
macem,macam
macem2,macam-macam
maen,main
maenya,mainnya
maho,homo
main2,main-main
keche,kece
badaii,badai
makasi,terima kasih
makasih,terimakasih
bebrp,beberapa
santab,santap
salehah,salihah
pengalam,pengalaman
kuninggg,kuning
pinkkkk,pink
warnany,warnanya
senangat,semangat
msknya,masaknya
bagussss,bagus
sayangkuh,sayangku
gans,ganteng
make,memakai
babget,banget
maksain,memaksa
dihh,dih
maksih,terimakasih
jadu,jadi
malem,malam
ksyngn,kesayangan
males,malas
haru,harus
malu2in,malu-maluin
maluuu,malu
mang,memang
manisss,manis
narik,menarik
manjain,manjakan
"orang""",orang-orang
mantabs,mantap
mantapp,mantap
mantappp,mantap
manteb,mantap
mantep,mantap
gokilll,gila
hancuuuuuy,hancur
mattihhh,mati
mantepp,mantap
mao,mau
marah2,marah-marah
masi,masih
beudd,banget
termiribkan,termiripkan
brrti,berarti
wenakk,enak
"masing""",masing-masing
nganteng,ganteng
abanggg,abang
seksii,seksi
gtuh,begitu
jadii,jadi
emeezzz,gemas
amohhh,kamu
maau,mau
eyke,aku
gilakkkkk,gila
masing2,masing-masing
duhhhhh,duh
liaatt,lihat
iniiiii,ini
aloh,allah
ngettt,banget
masukin,masukkan
matany,matanya
maso,masa
mauu,mau
brubah,berubah
mauuu,mau
keak,kayak
mauuuu,mau
mauuuuu,mau
may,mau
mb,mbak
takuuuuut,takut
ahahahanjirrr,anjir
jogetin,berjoget
shaay,say
mba,mbak
pacarnyaa,pacarnya
matii,mati
ketawaa,ketawa
wanjiir,anjir
minta,meminta
sgla,segala
uitnya,duitnya
beliiin,belikan
yaaah,ya
sekaeang,sekarang
mbaa,mbak
mbaaa,mbak
mbanya,mbaknya
mbg,mbak
mbk,mbak
tanyain,tanyakan
mcm,macam
mdh2an,mudah-mudahan
mdh2n,mudah-mudahan
meker,mikir
melihara,memelihara
mengalahkn,mengalahkan
jatuhnyaa,jatuhnya
menghilangkn,menghilangkan
menjdi,menjadi
"mentang""",mentang-mentang
meranin,memerankan
banyakin,membanyaki
merka,mereka
met,selamat
tipu2nya,tipu-tipunya
doaang,doang
mf,maaf
mff,maaf
mgkin,mungkin
mgkn,mungkin
kaj,kak
wahhhhhh,wah
mh,mah
miara,memiara
iiiiiiiii,ih
kaliiiiiii,kali
mikir2,berfikir-fikir
mikirin,memikirkan
melebihin,melebihi
milih,memilih
kalogak,kalo enggak
mimin,admin
minpi,mimpi
miriiiip,mirip
miriip,mirip
miripp,mirip
ndukung,mendukung
mirippp,mirip
mkanya,makanya
mkin,makin
aamiinnn,amin
skluarga,sekeluarga
mkn,makan
suaminga,suaminya
smgaa,semoga
mknya,makanya
cuaaantikk,cantik
mksd,maksud
muraaaaah,murah
mksdnya,maksudnya
mksh,terimakasih
baraang,barang
bets,banget
mksih,terimakasih
mksud,maksud
mlah,malah
alhamdulillaaaaah,alhamdulillah
mlh,malah
sembuhin,menyembuhkan
mlm,malam
mlu,malu
mmberi,memberi
mmberikan,memberikan
pengrusak,perusak
mmg,memang
hpus,hapus
pjang,pajang
bdampingan,berdampingan
mn,mana
mna,mana
uih,uh
mnding,mending
"serem""",seram-seram
"happi""",hepi-hepi
mngerti,mengerti
bgtuu,begitu
mngkin,mungkin
ktwa,ketawa
mnilai,menilai
mnjadi,menjadi
mnjdi,menjadi
mnt,minta
mnta,minta
mo,mau
semogaa,semoga
kepelesett,terpeleset
geeelaakk,gila
bolang,bocah petualang
model2,model-model
mrah,marah
mreka,mereka
lagihh,lagi
hedeuuhh,aduh
saltummmm,salah kostum
mboizzz,bois
suda,sudah
kayaq,kayak
ema,emak
mrip,mirip
mrk,mereka
dirumahny,dirumahnya
mrka,mereka
yuh,tuh
mrusak,merusak
msalah,masalah
msg2,masing-masing
msh,masih
siapayahh,siapa ya
kostom,kostum
gnii,begini
atuu,satu
pipinyaaa,pipinya
msih,masih
bungkuuuuuuuuusss,bungkus
iiiihhhhhj,ih
emeessss,gemas
pipine,pipinya
glembeeeer,gelambir
lucunaaa,lucunya
cubanget,lucu banget
pengenn,pengin
msk,masuk
unyuuk,unyu
lucunyah,lucunya
mantaaap,mantap
mslh,masalah
keduaa,kedua
mst,mesti
trsrh,terserah
msuk,masuk
mudaa,muda
mudah2,mudah-mudah
seterong,setrong
teyuss,terus
mudah2an,mudah-mudahan
dimasukin,dimasuki
mukax,mukanya
jahatin,menjahati
muke,muka
muna,munafik
murmer,murah meriah
mw,mau
qo,kok
mz,mas
nyebutin,menyebutkan
na,nya
naek,naik
ngertiin,mengerti
rasaiin,rasai
gakusah,enggak usah
nahan,menahan
nahhh,nah
naksir,menaksir
sabarrr,sabar
semangaatttt,semangat
namain,menamai
nama'in,namai
namany,namanya
namax,namanya
bedainnya,membedakannya
nambah,bertambah
krus,kurus
nangis,menangis
elaaaahhhh,alah
tap8,tapi
"nangis""",menangis-nangis
nangiss,menangis
pandanginya,memandanginya
